Capability,TownBell demonstrates,Replay source,Direct Reconstructed Inferred etc,Likely algorithm,Accuracy confidence,Required raw fields,Age of Friends use,V1 V2 Future
Dark age idle gap [dark_age_idle_gap],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Villagers trained [villagers_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Villagers at 20min [villagers_at_20min],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Villager rate dark age [villager_rate_dark_age],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Tc idle dark age [tc_idle_dark_age],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Tc utilization total [tc_utilization_total],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Villager rate per tc [villager_rate_per_tc],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Town center count [town_center_count],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Third town center [third_town_center],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Wheelbarrow time [wheelbarrow_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Hand cart time [hand_cart_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Horse collar time [horse_collar_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Double bit axe time [double_bit_axe_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Gold mining time [gold_mining_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Eco techs researched [eco_techs_researched],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Farms built [farms_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First farm [first_farm],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Farms before horse collar [farms_before_horse_collar],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Market time [market_time],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Market transactions [market_transactions],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Market volume [market_volume],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Market first use [market_first_use],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Market sells [market_sells],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Market buys [market_buys],Yes in supplied public JSON export,"BUY, SELL and RESEARCH commands",A plus B,Count market commands and amounts; select research clicks; reconstruct prices only if transaction semantics are validated,High for command count and amount; market price and successful execution need controlled tests,"timestamp, actor, resource id, amount, market object id, technology id","Market dependence, sling/support, resource-conversion behavior and economic timing",V1
Spend total [spend_total],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Spend food [spend_food],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Spend wood [spend_wood],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Spend gold [spend_gold],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Spend stone [spend_stone],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Spend rate [spend_rate],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Eco spend share [eco_spend_share],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Eco military ratio 15min [eco_military_ratio_15min],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
Fishing ships trained [fishing_ships_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Eco buildings built [eco_buildings_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Houses built [houses_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Early supply buffer [early_supply_buffer],Yes in supplied public JSON export,"QUEUE, BUILD, RESEARCH, ORDER, BUY, SELL and TRIBUTE commands",B or C,"Aggregate economy-related command events into timings, counts or declared continuity proxies",High for command facts; medium or lower when the name implies completed production or live economy,"timestamp, actor, action type, entity and target ids, amounts, producer ids and coordinates","Economic development, infrastructure, market behavior and recovery fundamentals",V1 facts then V2 metrics
Military units trained [military_units_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Military spend [military_spend],Yes in supplied public JSON export,"QUEUE, BUILD, WALL and RESEARCH commands plus versioned game-data costs",B,Price recorded commands at patch and civilization-adjusted costs and aggregate gross commitments by resource and purpose,"Medium to high for planned gross commitment; not resource collection, bank balance, affordability, refund or net spend","timestamp, entity ids, amounts, costs, civilization modifiers, cancellation events and wall length","Greed versus military commitment, timing investment and economic recovery inputs",V1 gross commitments; V2 net model
First military building [first_military_building],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Military buildings total [military_buildings_total],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Military buildings at castle [military_buildings_at_castle],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Composition diversity [composition_diversity],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Dominant unit class [dominant_unit_class],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Dominant unit [dominant_unit],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Infantry trained [infantry_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Archers trained [archers_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Cavalry trained [cavalry_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Siege trained [siege_trained],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
